Word,Synonyms
absolute_aj,"['al-mutlaq', 'abject', 'utter', 'absolutely', 'top', 'complete', 'extreme', 'outright', 'mutlaq', 'overriding', 'total', 'full', 'unconditional', 'unqualified', 'definitely', 'launching', 'unfettered', 'categorical', 'unmitigated']"
abstract_aj,"['summary', 'abstracto', 'abbreviated', 'summarized', 'abridged', 'short-form', 'abstracts', 'short', 'memorandum', 'summaries', 'résumé', 'synopsis', 'compendium', 'abstraction', 'abridgement', 'condensed']"
absurd_aj,"['preposterous', 'ridiculous', 'nonsensical', 'nonsense', 'ludicrous', 'senseless', 'unreasonable', 'pointless', 'absurdly', 'perverse', 'irrational', 'aberrant', 'farcical', 'foolish', 'silly', 'illogical', 'grotesque', 'insane', 'stupid', 'incongruous', 'bizarre', 'idiotic', 'crazy', 'laughable']"
academic_aj,"['university', 'academy', 'academics', 'universitaire', 'academia', 'university-based', 'scholarly', 'school', 'scholastic', 'theoretical', 'scholars', 'scolaire', 'universities', 'universitaires', 'educational', 'teaching', 'scholar', 'academician', 'scientific', 'university-level', 'academicians', 'formal', 'education']"
acceptable_aj,"['unacceptable', 'accepted', 'tolerable', 'admissible', 'agreeable', 'permissible', 'palatable', 'satisfactory', 'reasonable', 'maqbool', 'decent', 'eligible', 'allowable', 'acceptability', 'suitable']"
accessible_aj,"['available', 'access', 'affordable', 'accessibility', 'accessed', 'reachable', 'approachable', 'open', 'retrievable', 'attainable', 'user-friendly']"
accompanying_aj,"['flanking', 'explanatory', 'companion', 'attached', 'accompany', 'complementary', 'concomitant', 'escort', 'escorting', 'attendant', 'accompaniment', 'related', 'accompanies', 'supplementary', 'covering', 'corresponding']"
accumulated_aj,"['accrued', 'cumulative', 'cumulated', 'cum', 'amassed', 'earned', 'gained', 'rolled-up', 'acquired', 'rollup', 'banked', 'accumulative', 'accumulate', 'gathered', 'pent-up', 'period-to-date', 'collected', 'aggregate']"
accurate_aj,"['exact', 'precise', 'correct', 'specific', 'accuracy', 'accurately', 'precision', 'reliable', 'closed-form', 'faithful', 'specifies', 'minutes', 'rigorous', 'detailed', 'thorough', 'true', 'careful', 'précis', 'right', 'clarifies', 'minute', 'inaccurate', 'clear', 'proper']"
active_aj,"['assets', 'actively', 'asset', 'positive', 'proactive', 'activates', 'select', 'pro-active', 'dynamic', 'activate', 'activa', 'vigorous', 'vibrant', 'energetic', 'working', 'enable', 'effective', 'activity', 'positively', 'check', 'activist', 'lively', 'enables', 'turns', 'actif', 'activities', 'vigorously']"
actual_aj,"['real', 'effective', 'practical', 'actuals', 'genuine', 'true', 'current', 'real-world', 'royal', 'concrete', 'real-life', 'workforce', 'factual', 'realistic', 'rem', 'tangible', 'reality', 'specific']"
acute_aj,"['agudo', 'sharp', 'serious', 'severe', 'treble', 'acutely', 'aguda', 'pressing', 'grave', 'urgent', 'tweeter', 'short-lived', 'assets', 'keen', 'extreme']"
adamant_aj,"['categorical', 'inflexible', 'uncompromising', 'intransigent']"
added_aj,"['add', 'adds', 'inserted', 'aggregate', 'said', 'aggregated', 'additional', 'included', 'addendum', 'supplemented', 'addition', 'extra', 'incorporated', 'insert', 'appended']"
additional_aj,"['extra', 'supplementary', 'further', 'complementary', 'supplemental', 'incremental', 'other', 'more', 'new', 'add-on', 'added', 'add-in', 'increased', 'supplémentaires', 'others', 'increase', 'complimentary', 'additonal']"
adequate_aj,"['sufficient', 'appropriate', 'proper', 'suitable', 'enough', 'satisfactory', 'insufficient', 'ample', 'full', 'fully', 'right', 'inadequate', 'decent', 'due', 'necessary', 'adequacy', 'correct', 'sufficiently', 'adapted', 'relevant', 'good', 'fit', 'reasonable']"
administrative_aj,"['administration', 'managerial', 'management', 'administratif', 'executive', 'chief', 'administratives', 'administrativo', 'administratively', 'amministrativo', 'governing', 'clerical', 'administratifs', 'directors', 'bureaucratic', 'organizational', 'adminstrative', 'admin', 'red']"
advanced_aj,"['sophisticated', 'developed', 'state-of-the-art', 'leading-edge', 'cutting-edge', 'advance', 'progressed', 'peak', 'pointe', 'progressive', 'progress', 'high', 'modern', 'senior', 'masters', 'forward', 'advances', 'tip', 'advanced-level', 'higher', 'leading', 'high-tech', 'edge']"
advisory_aj,"['consultative', 'adviser', 'advice', 'counselling', 'consultation', 'consulting', 'consultancy', 'consultatif', 'advisor', 'counseling', 'advisers', 'consultant', 'counsel', 'consultants', 'notice', 'acabq']"
aeromedical_aj,['aero-medical']
aggressive_aj,"['offensive', 'aggression', 'hostile', 'dynamic', 'agonistic', 'energetic', 'snippy', 'bold', 'vigorous', 'dynamics', 'overbearing', 'aggressor', 'belligerent']"
agricultural_aj,"['agriculture', 'farm', 'farming', 'agrarian', 'agricole', 'agricola', 'agricoles', 'arable', 'agrícolas', 'rural', 'mezőgazdasági', 'agropecuario', 'agraria', 'agropecuaria', 'agronomique', 'agronomic', ""'agriculture"", 'crop', 'agricultura', 'farmland', 'agricoltura', 'agro-based']"
ailing_aj,"['faltering', 'sick', 'embattled', 'stumbling', 'ill', 'patient', 'deadlocked', 'weakened']"
alive_aj,"['living', 'live', 'vivo', 'viva', 'lively', 'vivid', 'alive-o', 'vivant', 'vibrant', 'loud', 'revive', 'reviving', 'residing']"
alleged_aj,"['presumed', 'suspected', 'supposed', 'presumptive', 'purported', 'claimed', 'argued', 'so-called', 'allegations', 'putative', 'assumed', 'allegation', 'asserted', 'contended', 'deemed', 'self-styled', 'accused', 'assumptions', 'invoked', 'perceived']"
altered_aj,"['amended', 'modified', 'changed', 'weathered', 'impaired', 'tampered', 'transformed', 'modify']"
alternative_aj,"['alternatives', 'alternate', 'variant', 'replacement', 'shadow', 'option', 'substitute', 'substitution', 'other', 'spare', 'alternativo', 'alternativa', 'surrogate', 'parallel', 'reciprocating', 'choice', 'different', 'solution', 'alternativas', 'alternating', 'makeshift', 'tabbed', 'choices', 'replace', 'various', 'workaround', 'lieu']"
amazing_aj,"['incredible', 'unbelievable', 'astonishing', 'surprising', 'astounding', 'fantastic', 'awesome', 'fabulous', 'stunning', 'wonderful', 'staggering', 'crazy', 'impressive', 'terrific', 'extraordinary', 'great', 'startling', 'beautiful', 'striking', 'fascinating', 'remarkable', 'mind-boggling', 'insane', 'breathtaking', 'magnificent', 'brilliant', 'formidable', 'gorgeous', 'super', 'unreal', 'delicious', 'marvelous', 'tremendous']"
ambitious_aj,"['far-reaching', 'aspirational', 'challenging', 'bold']"
amicable_aj,"['friendly', 'amiable', 'out-of-court', 'cordial']"
amphibian_aj,"['amphibians', 'amphibious', 'amphibia']"
analogous_aj,"['similar', 'analogue', 'analog', 'comparable']"
analytic_aj,"['analytical', 'analysis', 'analytics', 'summary']"
ancient_aj,"['old', 'former', 'antique', 'age-old', 'antigua', 'ancestral', 'antiquity', 'immemorial', 'archeological', 'longtime', 'long-standing', 'elders', 'centuries-old', 'ku', 'archaic', 'gu', 'archaeological', 'old-growth']"
annual_aj,"['yearly', 'annually', 'annuel', 'anniversary', 'year-on-year', 'year', 'annuelle', 'annum', 'anual', 'year-to-year', 'annualized', 'annuels', 'annuals', 'annuelles']"
anti_aj,"['anti-', 'against', 'hostile']"
anxious_aj,"['eager', 'keen', 'impatient', 'worried', 'nervous', 'concerned']"
apostate_aj,"['convert', 'renegade']"
apparent_aj,"['obvious', 'seeming', 'evident', 'clear', 'visible', 'manifest', 'zahir', 'ostensible', 'zaher', 'self-evident', 'noticeable', 'overt', 'superficial', 'akin', 'perceived', 'blatant', 'flagrant']"
appreciating_aj,"['welcoming', 'recognizing', 'acknowledging', 'commending']"
appropriate_aj,"['suitable', 'adequate', 'proper', 'relevant', 'fit', 'applicable', 'necessary', 'competent', 'timely', 'corresponding', 'right', 'adapted', 'fitting', 'due', 'opportune', 'occasion', 'appropriately', 'correct', 'pertinent', 'required', 'desirable', 'convenient', 'properly', 'tailored', 'expedient', 'good', 'advisable', 'inappropriate', 'sufficient', 'suitably', 'useful', 'decent', 'adequately', 'reasonable']"
arduous_aj,"['difficult', 'painstaking', 'hard', 'laborious', 'daunting', 'strenuous', 'formidable', 'challenging', 'tough', 'onerous', 'herculean', 'demanding', 'uphill', 'heavy', 'painful', 'hardship']"
armed_aj,"['militant', 'gunman', 'armies', 'gunmen', 'armées', 'militants', 'army', 'armadas', 'military', 'armada', 'armés', 'arming', 'reinforced', 'navy', 'cocked', 'guerrilla', 'heeled']"
artificial_aj,"['man-made', 'manmade', 'contrived', 'human-made', 'synthetic', 'unnatural', 'engineered', 'anthropogenic', 'artificially']"
artistic_aj,"['arts', 'artistique', 'art', 'artist', 'artsy', 'creative', 'arty', 'technical']"
asian_aj,"['asia', 'asiatic', 'asia-', 'asian-born', 'ajou']"
asic_aj,"['asics', 'asec', 'icss']"
asleep_aj,"['sor', 'sleeping', 'sleepy', 'sleep', 'numb', 'behemoth', 'sleeps']"
assistant_aj,"['deputy', 'wizard', 'assistants', 'aide', 'auxiliary', 'under-secretary', 'associate', 'helper', 'adjoint', 'sub', 'adjunct', 'undersecretary', 'ancillary', 'assitant', 'sidekick', 'subledger', 'sub-harnesses', 'asst']"
associated_aj,"['related', 'associate', 'linked', 'partners', 'partner', 'connected', 'associates', 'relating', 'bound', 'associés', 'tied', 'involved', 'relevant', 'corresponding', 'affiliated', 'accessories', 'asociado', 'attached', 'coupled', 'asociados']"
atrocious_aj,"['heinous', 'appalling', 'egregious', 'terrible', 'horrific', 'horrendous', 'dreadful', 'horrible', 'gruesome', 'awful', 'brutal', 'excruciating', 'abominable', 'cruel', 'hideous', 'horrifying', 'abhorrent', 'odious', 'monstrous', 'outrageous', 'despicable', 'unspeakable']"
attainable_aj,"['achievable', 'feasible', 'realizable', 'reachable', 'possible', 'workable', 'affordable', 'accessible']"
attentive_aj,"['careful', 'vigilant', 'observant', 'watchful', 'alert', 'mindful', 'responsive']"
attesting_aj,"['certifying', 'evidencing', 'confirming', 'stating', 'proving', 'attest']"
attractive_aj,"['appealing', 'interesting', 'tempting', 'compelling', 'seductive', 'exciting', 'eye-catching', 'handsome', 'good-looking', 'alluring', 'glitzy', 'beautiful', 'attracting', 'sexy']"
automatic_aj,"['auto', 'automated', 'automatically', 'automatically-operated', 'self-loading', 'self-running', 'self', 'spontaneous', 'auto-', 'automaticity', 'machine', 'automation', 'evergreen', 'autotoll']"
available_aj,"['accessible', 'provision', 'disposable', 'availability', 'offered', 'disponible', 'existing', 'disposition', 'disposal', 'provided', 'access', 'respendable', 'searchable', 'offert', 'disponibles', 'possible', 'availabe', 'unavailable', 're-spendable', 'consulted', 'accessed', 'readiness', 'posted', 'ready', 'consult', 'open', 'provide']"
average_aj,"['medium', 'mean', 'means', 'medium-sized', 'media', 'averages', 'way', 'middle', 'averaging', 'moderate', 'plea', 'median', 'east', 'avg', 'medium-', 'medium-size', 'mediterranean', '225', 'ways', 'half', 'medium-scale', 'tool', 'rate']"
aware_aj,"['conscious', 'mindful', 'cognizant', 'recognizing', 'conscience', 'informed', 'abreast', 'knowledge', 'consciousness', 'known', 'realizing', 'awareness', 'sensitized', 'familiar', 'unaware', 'realise', 'acknowledging', 'cognisant', 'sensitive', 'know', 'conscientious', 'self-aware']"
awful_aj,"['horrible', 'terrible', 'dreadful', 'horrific', 'appalling', 'hideous', 'ugly', 'horrendous', 'horrid', 'horrifying', 'atrocious', 'ghastly', 'gruesome', 'heinous', 'abhorrent', 'dog-ugly', 'god-awful', 'creepy', 'dire', 'abominable', 'bad', 'horror', 'dorky', 'nasty', 'scary', 'excruciating', 'terrifying', 'kamala']"
awkward_aj,"['embarrassing', 'clumsy', 'uncomfortable', 'inconvenient', 'weird', 'delicate', 'strange', 'butterhook', 'difficult', 'unpleasant', 'embarrassed', 'cumbersome', 'troublesome', 'thankless', 'sensitive', 'odd', 'tricky']"
baggy_aj,['coward']
baked_aj,"['bakery', 'cooked', 'boulangerie', 'baking']"
bali_aj,"['palley', 'pale']"
banished_aj,"['banned', 'exiled', 'outlawed']"
banked_aj,['accumulated']
bare_aj,"['naked', 'barry', 'bari', 'nude', 'parry', 'pari', 'barren', 'bir', 'skinned', 'nus', 'simple', 'strict']"
barred_aj,"['prevented', 'prohibited', 'banned', 'excluded', 'forbidden']"
belgian_aj,"['belge', 'belgium', 'belgische', 'belgians']"
biblical_aj,"['bible', 'evangelical', 'angeli', 'torah']"
biological_aj,"['organic', 'biologic', 'biologically', 'biology', 'biologique', 'biologiques', 'biologics', 'biodiversity', 'bio-based', 'biologicals', 'living', 'biotic', 'bacteriological', 'bio']"
bitter_aj,"['amer', 'painful', 'sour', 'acrimonious', 'scathing', 'harsh', 'embittered', 'fierce', 'resentful']"
blessed_aj,"['al-mubarak', 'unblessed', 'sanctified', 'sainte', 'holy', 'beni', 'consecrated']"
blind_aj,"['indiscriminate', 'wanton', 'blindly', 'blinds', 'acorn', 'ciego', 'bllnd', 'blinded', 'sunshade', 'blinkered', 'mindless', 'random', 'short-sighted']"
bloated_aj,"['overstaffed', 'hypertrophied', 'inflated', 'swollen', 'oversized', 'outsized']"
bloody_aj,"['deadly', 'bloodthirsty', 'sanguine', 'bloodshed', 'murderous', 'bloodstained', 'fucking', 'goddamn', 'damn', 'blood-soaked', 'blood', 'cursed', 'bloodless']"
bluff_aj,"['sham', 'cliff', 'scam', 'fake', 'racket']"
bodily_aj,"['corporal', 'tangible', 'physical', 'corporeal', 'body', 'physically']"
bold_aj,"['courageous', 'daring', 'brave', 'audacious', 'fatty', 'boldface', 'gras', 'fat', 'adventurous', 'bolding', 'valiant', 'ambitious', 'fearless', 'fats', 'aggressive', 'greasy', 'bolded']"
booming_aj,"['flourishing', 'thriving', 'prosperous', 'growing', 'boom', 'fast-growing', 'burgeoning']"
boosting_aj,"['stimulating', 'stimulate', 'strengthening', 'promoting', 'increasing']"
bosnian_aj,"['bosnia', 'bosniac', 'bosnians', 'bosniacs', 'bosniak', 'bosniaks', 'bosanski', 'bh', 'sarajevo', 'muslim-croat', 'bosnia-herzegovina', 'bosnia-hercegovina']"
bottom_aj,"['lower', 'underside', 'merits', 'low', 'substantive', 'fund', 'substance', 'bas', 'down', 'background', 'downstairs', 'below', 'inferior', 'seabed', 'fond', 'kick']"
bound_aj,"['linked', 'obliged', 'related', 'tied', 'associated', 'forced', 'compelled', 'connected', 'consolidated', 'obligated', 'required', 'held', 'doomed']"
brac_aj,"['brack', 'barak']"
