Word,Synonyms
absolute,"['complete', 'full', 'infinite', 'outright', 'pure', 'sheer', 'simple', 'unadulterated', 'unconditional', 'unlimited', 'unqualified', 'utter']"
abstract,"['abstruse', 'hypothetical', 'philosophical', 'unreal']"
absurd,"['crazy', 'foolish', 'goofy', 'illogical', 'irrational', 'laughable', 'ludicrous', 'nonsensical', 'preposterous', 'silly', 'stupid', 'unreasonable', 'wacky']"
academic,"['collegiate', 'intellectual', 'scholarly', 'scholastic']"
acceptable,"['adequate', 'common', 'decent', 'fair', 'respectable', 'sufficient', 'tolerable']"
accessible,"['available', 'handy', 'reachable', 'usable']"
accompanying,"['concomitant', 'with']"
accumulated,"['accrue', 'acquire', 'add to', 'assemble', 'collect', 'compile', 'concentrate', 'expand', 'gain', 'grow', 'hoard', 'increase', 'pile up', 'rack up', 'swell']"
accurate,"['authentic', 'careful', 'correct', 'definite', 'detailed', 'exact', 'factual', 'meticulous', 'proper', 'rigorous', 'scientific', 'skillful', 'solid', 'specific', 'strict', 'systematic', 'true']"
active,"['alive', 'effective', 'operating']"
actual,"['certain', 'definite', 'physical', 'substantial', 'substantive']"
acute,"['intense', 'keen', 'sharp', 'subtle']"
adamant,"['determined', 'insistent', 'intransigent', 'resolute', 'rigid', 'stubborn', 'uncompromising']"
added,"['combined', 'extra', 'joined', 'supplemental', 'supplementary']"
additional,"['added', 'further', 'increased', 'new', 'other', 'supplementary']"
adequate,"['acceptable', 'capable', 'competent', 'decent', 'fair', 'satisfactory', 'sufficient', 'suitable', 'tolerable']"
administrative,"['bureaucratic', 'departmental', 'governmental', 'legislative', 'managerial', 'organizational', 'policy-making', 'regulatory', 'supervisory']"
advanced,"['leading', 'progressive', 'state-of-the-art']"
advisory,"['counseling', 'helping']"
aegean,[]
aeromedical,[]
aggressive,"['combative', 'contentious', 'destructive', 'intrusive', 'threatening']"
agricultural,"['horticultural', 'rural']"
ailing,"['diseased', 'feeble', 'ill', 'sickly', 'weak']"
airmotive,[]
akagi,[]
alive,"['awake', 'conscious', 'viable']"
alleged,"['purported', 'so-called', 'stated', 'supposed']"
aloxite,[]
altered,"['cooked', 'corrected', 'modified', 'transformed', 'updated']"
alternative,['different']
amazing,"['awesome', 'fascinating', 'incredible', 'marvelous', 'prodigious', 'shocking', 'stunning', 'surprising', 'unbelievable', 'wonderful']"
ambitious,"['aggressive', 'determined', 'earnest', 'energetic', 'enthusiastic', 'resourceful']"
americanised,[]
amicable,"['amiable', 'civil', 'cordial', 'courteous', 'harmonious', 'neighborly', 'peaceful', 'polite']"
amphibian,"['frog', 'salamander', 'toad']"
amphibolitic,[]
analogous,"['akin', 'comparable', 'corresponding', 'related']"
analytic,"['analytical', 'investigative']"
anamorphotic,[]
ancient,"['age-old', 'antique', 'archaic', 'hoary', 'old-fashioned', 'timeworn', 'venerable']"
annotatable,[]
annual,['anniversary']
anti,"['adverse', 'gloomy', 'pessimistic', 'unfavorable', 'weak']"
antiphlogistine,[]
anxious,"['afraid', 'apprehensive', 'careful', 'concerned', 'distressed', 'fearful', 'fidgety', 'jittery', 'nervous', 'restless', 'scared', 'uneasy', 'uptight']"
apostate,"['backslider', 'defector', 'deserter', 'dissenter', 'heretic', 'nonconformist', 'rat', 'recreant', 'renegade', 'turncoat']"
apparent,"['possible', 'probable', 'supposed']"
applesque,[]
appreciating,"['acknowledge', 'enjoy', 'welcome']"
appropriate,"['applicable', 'apt', 'convenient', 'correct', 'fitting', 'good', 'opportune', 'pertinent', 'proper', 'relevant', 'true', 'useful']"
apulian,[]
arduous,"['backbreaking', 'burdensome', 'exhausting', 'formidable', 'grueling', 'laborious', 'onerous', 'painful', 'rigorous', 'strenuous', 'tiring', 'tough', 'troublesome', 'trying', 'uphill']"
armed,"['equipped', 'loaded', 'outfitted', 'supplied']"
arrestable,[]
arsacid,[]
artificial,['unreal']
artistic,"['aesthetic', 'creative', 'decorative', 'dramatic', 'imaginative', 'musical']"
ascari,[]
asian,"['Chinese', 'Japanese', 'Korean', 'byzantine']"
asic,[]
asleep,"['comatose', 'dormant']"
assistant,"['aide', 'apprentice', 'associate', 'attendant', 'backup', 'colleague', 'companion', 'deputy', 'friend', 'partner', 'representative', 'secretary']"
associated,"['combine', 'correlate', 'identify', 'join', 'link', 'mix', 'relate']"
asyrian,[]
atlantoaxial,[]
atrabilious,"['cantankerous', 'snarly', 'splenetic', 'surly', 'waspish']"
atrocious,"['awful', 'barbaric', 'heinous', 'lousy', 'rotten', 'scandalous', 'shocking']"
attainable,"['feasible', 'obtainable', 'practicable', 'reachable']"
attentive,"['aware', 'conscientious', 'interested', 'observant', 'vigilant', 'watchful']"
attesting,"['authenticate', 'corroborate', 'demonstrate', 'indicate', 'substantiate', 'swear', 'verify']"
attractive,"['alluring', 'beautiful', 'charming', 'engaging', 'enticing', 'fair', 'glamorous', 'good-looking', 'gorgeous', 'handsome', 'interesting', 'inviting', 'lovely', 'pleasant', 'pleasing', 'tempting']"
augustan,"['classic', 'humanistic']"
augustinian,[]
autolite,[]
automatic,"['automated', 'electric', 'electronic', 'mechanical']"
avaible,[]
available,"['accessible', 'applicable', 'convenient', 'feasible', 'free', 'handy', 'possible', 'usable', 'vacant']"
average,"['mediocre', 'moderate', 'ordinary', 'regular']"
aware,"['alive', 'appreciative', 'apprehensive', 'attentive', 'awake', 'cognizant', 'conscious', 'familiar', 'informed', 'mindful', 'receptive', 'wise']"
awful,"['appalling', 'atrocious', 'depressing', 'dire', 'disgusting', 'distressing', 'dreadful', 'frightful', 'ghastly', 'gruesome', 'harrowing', 'hideous', 'horrendous', 'horrible', 'horrific', 'horrifying', 'nasty', 'shocking', 'tough', 'ugly', 'unpleasant']"
awkward,"['amateurish', 'rude', 'stiff']"
bactericidal,"['hygienic', 'sterile']"
baggy,"['billowing', 'floppy', 'oversize', 'roomy']"
baked,"['dried', 'melted', 'scorched', 'stewed']"
bali,[]
balleny,[]
banished,"['dismiss', 'dispel', 'drive away', 'eject', 'eliminate', 'eradicate', 'evict', 'exclude', 'exile', 'get rid of', 'isolate', 'ostracize', 'oust', 'outlaw', 'relegate', 'remove']"
banked,"['amass', 'hoard', 'invest']"
bare,"['bald', 'exposed', 'naked', 'uncovered']"
barefooted,"['discalceated', 'discalced', 'shoeless', 'unshod']"
barred,['block']
beatific,"['delightful', 'elated', 'euphoric', 'happy', 'joyful', 'rapturous']"
beaty,[]
beleagured,[]
belgian,[]
beltless,[]
besagic,[]
betic,[]
betsan,[]
biblical,"['doctrinal', 'ecclesiastical', 'scriptural', 'theological']"
bibliophilic,[]
biddable,"['acquiescent', 'amenable', 'compliant', 'docile', 'obliging', 'pliable', 'submissive', 'tractable', 'yielding']"
bided,"['dwell', 'sit tight', 'stick around']"
biliopancreatic,[]
biographic,[]
biological,['organic']
bitter,"['harsh', 'sour']"
blessed,"['adored', 'consecrated', 'divine', 'enthroned', 'exalted', 'glorified', 'hallowed', 'redeemed', 'resurrected', 'revered', 'rewarded', 'saved']"
blind,"['dark', 'groping', 'unsighted']"
bloated,"['distended', 'tumefied']"
bloody,"['blood-soaked', 'bloodstained', 'gory', 'grisly']"
bloodyminded,"['bloodthirsty', 'bloody', 'cruel', 'ferocious', 'homicidal', 'sanguinary', 'savage', 'slaughterous', 'violent']"
bloused,[]
bluff,"['blunt', 'blustering', 'brief', 'direct', 'frank', 'open', 'rough', 'short', 'tart']"
boatworthy,[]
bodily,['physical']
bold,"['adventurous', 'audacious', 'courageous', 'daring', 'fearless', 'heroic', 'resolute']"
booming,"['growing', 'profitable', 'prosperous', 'roaring', 'thriving']"
boosting,"['advance', 'encourage', 'promote', 'push', 'support', 'sustain']"
bosnian,[]
bossable,[]
bottighofen,[]
bottom,"['base', 'basement', 'basic', 'ground', 'last', 'primary', 'radical', 'underlying']"
bound,"['constrained', 'enslaved', 'obligated', 'restrained']"
brac,[]
brave,"['adventurous', 'audacious', 'confident', 'courageous', 'daring', 'dashing', 'fearless', 'foolhardy', 'gallant', 'gutsy', 'heroic', 'reckless', 'resolute', 'spirited', 'spunky', 'stout', 'strong', 'valiant']"
brief,"['abrupt', 'blunt', 'concise', 'pithy', 'succinct', 'terse']"
bright,"['blazing', 'brilliant', 'dazzling', 'flashing', 'glistening', 'glittering', 'golden', 'intense', 'luminous', 'radiant', 'shimmering', 'shiny', 'silvery', 'sparkling', 'sunny', 'vivid']"
brilliant,"['bright', 'dazzling', 'flashy', 'intense', 'luminous', 'radiant', 'scintillating', 'sparkling', 'vivid']"
broad,"['deep', 'expansive', 'extensive', 'full', 'generous', 'immense', 'large', 'vast']"
brodanski,[]
broken,"['busted', 'collapsed', 'cracked', 'crippled', 'crumbled', 'crushed', 'damaged', 'defective', 'demolished', 'fractured', 'fragmented', 'injured', 'mangled', 'mutilated', 'severed', 'shattered', 'smashed']"
brugnoni,[]
buggered,[]
calydonian,[]
capable,"['able', 'accomplished', 'adept', 'adequate', 'competent', 'efficient', 'experienced', 'gifted', 'good', 'intelligent', 'proficient', 'qualified', 'skillful', 'suited', 'talented']"
capitalist,"['banker', 'entrepreneur', 'financier']"
careen,['lurch']
careful,"['accurate', 'attentive', 'choosy', 'circumspect', 'concerned', 'conscientious', 'deliberate', 'discreet', 'judicious', 'leery', 'meticulous', 'mindful', 'precise', 'prudent', 'rigorous', 'scrupulous', 'sober', 'thorough', 'thoughtful', 'vigilant', 'wary']"
carnbane,[]
carotenoid,[]
carotid,[]
caryatid,['monument']
cast,['casting']
castored,[]
casual,"['occasional', 'offhand', 'spontaneous']"
catholic,"['comprehensive', 'cosmopolitan', 'eclectic', 'generic', 'liberal', 'universal', 'whole']"
cavaradossi,[]
cebotari,[]
celebrated,"['acclaimed', 'revered']"
cenozoic,[]
central,"['basic', 'essential', 'fundamental', 'important', 'key', 'paramount', 'pivotal', 'significant']"
centralizing,"['consolidate', 'integrate', 'rationalize', 'streamline', 'unify']"
centred,[]
centromeric,[]
certain,"['convinced', 'positive', 'sure']"
chadwickian,[]
chaldean,[]
challengeable,[]
changing,"['changeable', 'developing', 'dynamic', 'growing', 'uncertain', 'unstable']"
characteristic,"['distinctive', 'idiosyncratic', 'innate', 'peculiar', 'singular', 'unique']"
chemical,['synthetic']
chevy,[]
chief,"['leading', 'main', 'preeminent', 'prime', 'principal']"
chitawan,[]
choral,['coloratura']
christian,"['pious', 'religious']"
chronic,"['constant', 'continual', 'continuing', 'continuous', 'deep-rooted', 'deep-seated', 'habitual', 'incurable', 'lifelong', 'lingering', 'persistent', 'protracted', 'recurrent', 'recurring', 'sustained']"
circular,"['oblique', 'round', 'spheroid']"
citywide,[]
civil,"['civilian', 'domestic', 'governmental', 'local', 'national']"
clacking,"['babble', 'blab', 'cackle', 'chatter', 'cluck', 'gossip', 'jaw', 'prate', 'prattle', 'rattle', 'yak']"
clairty,[]
classical,"['classic', 'humanistic']"
claustrophoberised,[]
cleared,['cleaned']
cless,[]
clinical,"['analytic', 'impersonal', 'scientific']"
closed,"['bankrupt', 'locked', 'sealed']"
coastal,"['marshy', 'seaside']"
collective,"['concerted', 'corporate', 'cumulative', 'mutual', 'shared', 'unified']"
colonial,"['crude', 'dependent', 'dominion', 'emigrant', 'frontier', 'immigrant', 'pilgrim', 'pioneer', 'primitive', 'provincial', 'puritan', 'territorial', 'wild']"
coloured,[]
combined,"['connected', 'mixed', 'united']"
comfortable,"['appropriate', 'complacent', 'convenient', 'cozy', 'easy', 'enjoyable', 'happy', 'healthy', 'loose', 'pleasant', 'pleased', 'relaxed', 'satisfying', 'serene', 'snug', 'soft', 'useful', 'warm']"
commercial,"['economic', 'financial', 'monetary', 'profit-making', 'profitable', 'wholesale']"
common,"['accepted', 'commonplace', 'everyday', 'familiar', 'frequent', 'natural', 'prevailing', 'prevalent', 'routine', 'simple', 'trivial', 'typical', 'universal']"
communist,"['Bolshevik', 'Bolshevist', 'Commie', 'Maoist', 'Marxist', 'Socialist', 'Stalinist', 'Trotskyite', 'apparatchik', 'comrade', 'pinko', 'red', 'sympathizer']"
comparable,"['commensurate', 'equal', 'proportionate', 'tantamount']"
