word,pos,cefr
cattle,NA,B1
clothes,NA,A1
albeit,NA,C2
and,NA,A1
and,NA,A1
because,NA,A1
but,NA,A1
and,NA,A2
as,NA,A2
although,NA,B1
although,NA,B1
and,NA,B1
close,NA,B1
as,NA,A1
and,NA,A1
as,NA,A2
before,NA,A2
after,NA,B1
as,NA,B1
as,NA,B1
as,NA,B1
before,NA,B1
before,NA,B1
but,NA,B1
eight,NA,A1
eighteen,NA,A1
eleven,NA,A1
eighth,NA,A2
eighty,NA,A2
insofar as,NA,C2
fifteen,NA,A1
five,NA,A1
four,NA,A1
fourteen,NA,A1
fifth,NA,A2
fifty,NA,A2
forty,NA,A2
fourth,NA,A2
hundred,NA,A2
if,NA,A2
if,NA,B1
if,NA,B1
if,NA,B1
if,NA,B2
however,NA,C2
million,NA,A2
like,NA,B1
or,NA,A1
or,NA,A2
or,NA,B1
or,NA,B2
only,NA,C2
nine,NA,A1
nineteen,NA,A1
one,NA,A1
ninety,NA,A2
ninth,NA,A2
now,NA,B2
once,NA,B2
or,NA,C1
provided (that),NA,B2
second,NA,B1
politically,NA,C1
second,NA,A1
plus,NA,B1
second,NA,B1
seventy,NA,A2
so,NA,A2
seven,NA,A1
seventeen,NA,A1
six,NA,A1
sixteen,NA,A1
ten,NA,A1
thirteen,NA,A1
three,NA,A1
to,NA,A1
seventh,NA,A2
sixth,NA,A2
sixty,NA,A2
so,NA,A2
that,NA,A2
third,NA,A2
thirty,NA,A2
thousand,NA,A2
to,NA,A2
to,NA,A2
since,NA,B1
since,NA,B1
though,NA,B1
till,NA,B1
though,NA,B2
zero,NA,A2
while,NA,B2
while,NA,B1
whereas,NA,B2
zero,NA,B1
twelve,NA,A1
twenty,NA,A1
two,NA,A1
when,NA,A2
where,NA,A2
while,NA,A2
unless,NA,B1
until,NA,B1
until,NA,B1
whenever,NA,B1
wherever,NA,B1
whether,NA,B1
yet,NA,B1
when,NA,B2
where,NA,B2
caution,verb,C2
advertisement,noun,A2
assert,verb,C1
address,verb,C2
cash,noun,B1
acquire,verb,B2
click,verb,C2
bike,noun,B1
clarification,noun,C1
acknowledge,verb,C1
aid,verb,C1
applaud,verb,C2
cease,verb,B2
carrot,noun,C2
character,noun,C2
ages,noun,B1
bunch,noun,B1
click,verb,C2
birth,noun,C1
approval,noun,B2
chemical,noun,B2
appearance,noun,B2
