word,pos,cefr_int,cefr
cattle,NA,3,B
clothes,NA,1,A
albeit,NA,6,C
and,NA,1,A
and,NA,1,A
because,NA,1,A
but,NA,1,A
and,NA,2,A
as,NA,2,A
although,NA,3,B
although,NA,3,B
and,NA,3,B
close,NA,3,B
as,NA,1,A
and,NA,1,A
as,NA,2,A
before,NA,2,A
after,NA,3,B
as,NA,3,B
as,NA,3,B
as,NA,3,B
before,NA,3,B
before,NA,3,B
but,NA,3,B
eight,NA,1,A
eighteen,NA,1,A
eleven,NA,1,A
eighth,NA,2,A
eighty,NA,2,A
fifteen,NA,1,A
five,NA,1,A
four,NA,1,A
fourteen,NA,1,A
fifth,NA,2,A
fifty,NA,2,A
forty,NA,2,A
fourth,NA,2,A
hundred,NA,2,A
if,NA,2,A
if,NA,3,B
if,NA,3,B
if,NA,3,B
if,NA,4,B
however,NA,6,C
million,NA,2,A
like,NA,3,B
or,NA,1,A
or,NA,2,A
or,NA,3,B
or,NA,4,B
only,NA,6,C
nine,NA,1,A
nineteen,NA,1,A
one,NA,1,A
ninety,NA,2,A
ninth,NA,2,A
now,NA,4,B
once,NA,4,B
or,NA,5,C
second,NA,3,B
politically,NA,5,C
second,NA,1,A
plus,NA,3,B
second,NA,3,B
seventy,NA,2,A
so,NA,2,A
seven,NA,1,A
seventeen,NA,1,A
six,NA,1,A
sixteen,NA,1,A
ten,NA,1,A
thirteen,NA,1,A
three,NA,1,A
to,NA,1,A
seventh,NA,2,A
sixth,NA,2,A
sixty,NA,2,A
so,NA,2,A
that,NA,2,A
third,NA,2,A
thirty,NA,2,A
thousand,NA,2,A
to,NA,2,A
to,NA,2,A
since,NA,3,B
since,NA,3,B
though,NA,3,B
till,NA,3,B
though,NA,4,B
zero,NA,2,A
while,NA,4,B
while,NA,3,B
whereas,NA,4,B
zero,NA,3,B
twelve,NA,1,A
twenty,NA,1,A
two,NA,1,A
when,NA,2,A
where,NA,2,A
while,NA,2,A
unless,NA,3,B
until,NA,3,B
until,NA,3,B
whenever,NA,3,B
wherever,NA,3,B
whether,NA,3,B
yet,NA,3,B
when,NA,4,B
where,NA,4,B
caution,VERB,6,C
advertisement,NOUN,2,A
assert,VERB,5,C
address,VERB,6,C
cash,NOUN,3,B
acquire,VERB,4,B
click,VERB,6,C
bike,NOUN,3,B
clarification,NOUN,5,C
acknowledge,VERB,5,C
aid,VERB,5,C
applaud,VERB,6,C
cease,VERB,4,B
carrot,NOUN,6,C
character,NOUN,6,C
ages,NOUN,3,B
bunch,NOUN,3,B
click,VERB,6,C
birth,NOUN,5,C
approval,NOUN,4,B
chemical,NOUN,4,B
appearance,NOUN,4,B
assurance,NOUN,5,C
allowance,NOUN,5,C
assistance,NOUN,4,B
appearance,NOUN,3,B
assurance,NOUN,6,C
appearance,NOUN,4,B
assistant,NOUN,3,B
coherence,NOUN,6,C
bestseller,NOUN,4,B
beginner,NOUN,2,A
browser,NOUN,4,B
backpacker,NOUN,3,B
bumper,NOUN,4,B
cleaner,NOUN,2,A
babysitter,NOUN,3,B
barber,NOUN,3,B
builder,NOUN,3,B
adviser,NOUN,5,C
classic,NOUN,4,B
characteristic,NOUN,4,B
clothing,NOUN,4,B
catering,NOUN,4,B
boxing,NOUN,3,B
camping,NOUN,2,A
backpacking,NOUN,3,B
booking,NOUN,3,B
animation,NOUN,3,B
allegation,NOUN,5,C
addition,NOUN,4,B
admission,NOUN,4,B
admission,NOUN,3,B
action,NOUN,3,B
collection,NOUN,4,B
action,NOUN,4,B
calculation,NOUN,4,B
admiration,NOUN,4,B
ambition,NOUN,4,B
appreciation,NOUN,4,B
affection,NOUN,4,B
attraction,NOUN,6,C
celebration,NOUN,3,B
adoption,NOUN,4,B
application,NOUN,4,B
capitalism,NOUN,6,C
archaeologist,NOUN,5,C
clarity,NOUN,6,C
capacity,NOUN,4,B
capacity,NOUN,4,B
capacity,NOUN,5,C
activity,NOUN,4,B
argument,NOUN,3,B
agreement,NOUN,4,B
argument,NOUN,4,B
agreement,NOUN,4,B
arrangement,NOUN,4,B
achievement,NOUN,3,B
adjustment,NOUN,4,B
assessment,NOUN,4,B
amazement,NOUN,4,B
amusement,NOUN,4,B
astonishment,NOUN,4,B
attachment,NOUN,4,B
appointment,NOUN,6,C
blindness,NOUN,5,C
carelessness,NOUN,4,B
cheerfulness,NOUN,6,C
coldness,NOUN,6,C
collector,NOUN,4,B
ancestor,NOUN,4,B
championship,NOUN,3,B
bravery,NOUN,4,B
addiction,NOUN,4,B
abortion,NOUN,5,C
animal,NOUN,1,A
bird,NOUN,1,A
cat,NOUN,1,A
baby,NOUN,2,A
bear,NOUN,2,A
chicken,NOUN,2,A
ant,NOUN,3,B
bat,NOUN,3,B
bee,NOUN,3,B
bug,NOUN,3,B
bull,NOUN,3,B
butterfly,NOUN,3,B
cage,NOUN,3,B
calf,NOUN,3,B
camel,NOUN,3,B
breed,NOUN,4,B
cell,NOUN,4,B
collar,NOUN,4,B
beak,NOUN,5,C
bark,VERB,4,B
breed,VERB,4,B
book,NOUN,1,A
camera,NOUN,1,A
album,NOUN,2,A
cartoon,NOUN,2,A
cartoon,NOUN,2,A
channel,NOUN,2,A
clown,NOUN,2,A
act,NOUN,3,B
ad,NOUN,3,B
advert,NOUN,3,B
article,NOUN,3,B
biography,NOUN,3,B
chapter,NOUN,3,B
character,NOUN,3,B
circus,NOUN,3,B
beat,NOUN,4,B
cello,NOUN,4,B
column,NOUN,4,B
bow,NOUN,6,C
art,NOUN,2,A
cable,NOUN,3,B
cinema,NOUN,5,C
brass,NOUN,6,C
ballet,NOUN,3,B
background,NOUN,4,B
accompany,VERB,6,C
act,VERB,3,B
advertise,VERB,3,B
broadcast,VERB,4,B
arm,NOUN,1,A
body,NOUN,1,A
accident,NOUN,2,A
back,NOUN,2,A
brain,NOUN,2,A
cold,NOUN,2,A
ache,NOUN,3,B
ankle,NOUN,3,B
body,NOUN,3,B
bottom,NOUN,3,B
breast,NOUN,3,B
cheek,NOUN,3,B
chin,NOUN,3,B
beat,NOUN,4,B
bite,NOUN,4,B
breakdown,NOUN,4,B
bruise,NOUN,4,B
bug,NOUN,4,B
chest,NOUN,4,B
antibiotic,NOUN,6,C
blister,NOUN,6,C
calf,NOUN,6,C
case,NOUN,6,C
blood,NOUN,2,A
breath,NOUN,3,B
care,NOUN,4,B
cholesterol,NOUN,5,C
aspirin,NOUN,3,B
backache,NOUN,3,B
bandage,NOUN,3,B
birth,NOUN,3,B
bone,NOUN,3,B
beat,VERB,3,B
bleed,VERB,3,B
ache,VERB,4,B
catch,VERB,2,A
burn,VERB,3,B
bump,VERB,4,B
carry,VERB,5,C
attack,VERB,6,C
breathe,VERB,3,B
coat,NOUN,1,A
belt,NOUN,2,A
boot,NOUN,2,A
cap,NOUN,2,A
bracelet,NOUN,3,B
button,NOUN,3,B
