word,pos,cefr_level_avg,cefr_level
a,DET,1,A
a,DET,1,A
a,DET,1,A
abandon,VERB,3,B
ability,NOUN,2,A
able,ADJ,1,A
abolish,VERB,4,B
abortion,NOUN,3,B
about,ADP,1,A
about,ADV,2,A
above,ADJ,1,A
above,ADP,2,A
above,ADV,3,B
abroad,ADV,3,B
absence,NOUN,2,A
absent,ADJ,3,B
absolute,ADJ,2,A
absolutely,ADV,3,B
absorb,VERB,4,B
abstract,ADJ,3,B
absurd,ADJ,4,B
abuse,NOUN,2,A
academic,ADJ,2,A
accent,NOUN,3,B
accept,VERB,2,A
acceptable,ADJ,3,B
acceptance,NOUN,3,B
access,NOUN,2,A
access,VERB,3,B
accessible,ADJ,3,B
accident,NOUN,3,B
accommodation,NOUN,3,B
accompany,VERB,3,B
account,NOUN,2,A
account,NOUN,2,A
account,NOUN,2,A
accountant,NOUN,4,B
accumulate,VERB,4,B
accuracy,NOUN,3,B
accurate,ADJ,2,A
accuse,VERB,4,B
achieve,VERB,2,A
achievement,NOUN,3,B
acid,NOUN,1,A
acknowledge,VERB,3,B
acquire,VERB,3,B
acre,NOUN,4,B
across,ADP,1,A
across,ADV,3,B
act,NOUN,2,A
act,VERB,1,A
action,NOUN,2,A
active,ADJ,2,A
actively,ADV,3,B
activity,NOUN,2,A
actor,NOUN,2,A
actual,ADJ,2,A
actually,ADV,2,A
ad,NOUN,3,B
adapt,VERB,3,B
add,VERB,1,A
addition,NOUN,2,A
additional,ADJ,2,A
address,NOUN,1,A
address,VERB,2,A
adequate,ADJ,3,B
adjust,VERB,3,B
adjustment,NOUN,3,B
administration,NOUN,2,A
administrative,ADJ,3,B
administrator,NOUN,3,B
admire,VERB,3,B
admission,NOUN,3,B
admit,VERB,3,B
adopt,VERB,3,B
adoption,NOUN,3,B
adult,NOUN,3,B
advance,NOUN,2,A
advance,VERB,3,B
advanced,ADJ,3,B
advantage,NOUN,2,A
adventure,NOUN,2,A
advertise,VERB,4,B
advertisement,NOUN,2,A
advertising,NOUN,3,B
