eng_words,pos_tag
a,DET
aa,NOUN
aaa,NOUN
aah,NOUN
aahed,VERB
aahing,VERB
aahs,NOUN
aal,NOUN
aalii,NOUN
aaliis,NOUN
aals,NOUN
aam,NOUN
aani,NOUN
aardvark,NOUN
aardvarks,NOUN
aardwolf,NOUN
aardwolves,NOUN
aargh,NOUN
aaron,NOUN
aaronic,NOUN
aaronical,ADJ
aaronite,NOUN
aaronitic,ADJ
aarrgh,NOUN
aarrghh,NOUN
aaru,NOUN
aas,NOUN
aasvogel,NOUN
aasvogels,NOUN
ab,NOUN
aba,NOUN
ababdeh,NOUN
ababua,NOUN
abac,NOUN
abaca,NOUN
abacay,NOUN
abacas,NOUN
abacate,NOUN
abacaxi,NOUN
abaci,NOUN
abacinate,NOUN
abacination,NOUN
abacisci,NOUN
abaciscus,NOUN
abacist,NOUN
aback,NOUN
abacli,NOUN
abacot,NOUN
abacterial,ADJ
abactinal,ADJ
abactinally,ADV
abaction,NOUN
abactor,NOUN
abaculi,NOUN
abaculus,NOUN
abacus,NOUN
abacuses,NOUN
abada,NOUN
abaddon,NOUN
abadejo,NOUN
abadengo,NOUN
abadia,NOUN
abadite,NOUN
abaff,NOUN
abaft,NOUN
abay,NOUN
abayah,NOUN
abaisance,NOUN
abaised,VERB
abaiser,NOUN
abaisse,NOUN
abaissed,VERB
abaka,NOUN
abakas,NOUN
abalation,NOUN
abalienate,NOUN
abalienated,VERB
abalienating,VERB
abalienation,NOUN
abalone,NOUN
abalones,NOUN
abama,NOUN
abamp,NOUN
abampere,ADV
abamperes,NOUN
abamps,NOUN
aband,NOUN
abandon,NOUN
abandonable,ADJ
abandoned,VERB
abandonedly,ADV
abandonee,NOUN
abandoner,NOUN
abandoners,NOUN
abandoning,VERB
abandonment,NOUN
abandonments,NOUN
abandons,NOUN
abandum,NOUN
abanet,NOUN
abanga,NOUN
abanic,NOUN
abannition,NOUN
abantes,NOUN
abapical,ADJ
abaptiston,NOUN
abaptistum,NOUN
abarambo,NOUN
abaris,NOUN
abarthrosis,NOUN
abarticular,NOUN
abarticulation,NOUN
abas,NOUN
abase,NOUN
abased,VERB
abasedly,ADV
abasedness,NOUN
abasement,NOUN
abasements,NOUN
abaser,NOUN
abasers,NOUN
abases,NOUN
abasgi,NOUN
abash,NOUN
abashed,VERB
abashedly,ADV
abashedness,NOUN
abashes,NOUN
abashing,VERB
abashless,NOUN
abashlessly,ADV
abashment,NOUN
abashments,NOUN
abasia,NOUN
abasias,NOUN
abasic,ADJ
abasing,VERB
abasio,NOUN
abask,NOUN
abassi,NOUN
abassin,NOUN
abastard,NOUN
abastardize,VERB
abastral,ADJ
abatable,ADJ
abatage,NOUN
abate,NOUN
abated,VERB
abatement,NOUN
abatements,NOUN
abater,NOUN
abaters,NOUN
abates,NOUN
abatic,ADJ
abating,VERB
abatis,NOUN
abatised,VERB
abatises,NOUN
abatjour,NOUN
abatjours,NOUN
abaton,NOUN
abator,NOUN
abators,NOUN
abattage,NOUN
abattis,NOUN
abattised,VERB
abattises,NOUN
abattoir,NOUN
abattoirs,NOUN
abattu,NOUN
abattue,NOUN
abatua,NOUN
abature,NOUN
abaue,NOUN
abave,NOUN
abaxial,ADJ
abaxile,NOUN
abaze,NOUN
abb,NOUN
abba,NOUN
abbacy,NOUN
abbacies,NOUN
abbacomes,NOUN
abbadide,NOUN
abbaye,NOUN
abbandono,NOUN
abbas,NOUN
abbasi,NOUN
abbasid,NOUN
abbassi,NOUN
abbasside,NOUN
abbate,NOUN
abbatial,ADJ
abbatical,ADJ
abbatie,NOUN
abbe,NOUN
abbey,NOUN
abbeys,NOUN
abbeystead,NOUN
abbeystede,NOUN
abbes,NOUN
abbess,NOUN
abbesses,NOUN
abbest,NOUN
abbevillian,ADJ
abby,NOUN
abbie,NOUN
abboccato,NOUN
abbogada,NOUN
abbot,NOUN
abbotcy,NOUN
abbotcies,NOUN
abbotnullius,NOUN
abbotric,NOUN
abbots,NOUN
abbotship,NOUN
abbotships,NOUN
abbott,NOUN
abbozzo,NOUN
abbr,NOUN
abbrev,NOUN
abbreviatable,ADJ
abbreviate,NOUN
abbreviated,VERB
abbreviately,ADV
abbreviates,NOUN
abbreviating,VERB
abbreviation,NOUN
abbreviations,NOUN
abbreviator,NOUN
abbreviatory,NOUN
abbreviators,NOUN
abbreviature,NOUN
abbroachment,NOUN
abc,NOUN
abcess,NOUN
abcissa,NOUN
