word,pos,cefr_int,cefr,ngram_2013,ngram_2014,ngram_2015,ngram_2016,ngram_2017,ngram_2018,ngram_2019
cattle,NAN,3,B,1.6e-05,1.5e-05,1.5e-05,1.5e-05,1.7e-05,1.8e-05,1.7e-05
clothes,NAN,1,A,4.7e-05,5.2e-05,5.5e-05,5.1e-05,5.1e-05,5.2e-05,5.4e-05
albeit,NAN,6,C,1e-05,1e-05,1e-05,1.1e-05,1.1e-05,1e-05,1e-05
and,NAN,1,A,0.023055,0.023011,0.022987,0.023237,0.023286,0.022999,0.022951
because,NAN,1,A,0.000631,0.000639,0.000648,0.000644,0.000631,0.000614,0.000614
but,NAN,1,A,0.002116,0.002234,0.002322,0.00228,0.0023,0.002358,0.00236
as,NAN,2,A,0.005224,0.005317,0.005329,0.005389,0.005382,0.005295,0.005298
although,NAN,3,B,0.000134,0.000132,0.000126,0.000127,0.000124,0.000116,0.000115
close,NAN,3,B,0.000166,0.000173,0.000178,0.000173,0.00017,0.000167,0.000166
before,NAN,2,A,0.00059,0.000627,0.000662,0.0,0.0,0.0,0.0
after,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eighteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eleven,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eighth,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eighty,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fifteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
five,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
four,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fourteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fifth,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fifty,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forty,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fourth,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hundred,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
however,NAN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
million,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
like,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
only,NAN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nine,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nineteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ninety,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ninth,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
now,NAN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
once,NAN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
second,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politically,NAN,5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plus,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seventy,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seventeen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
six,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sixteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ten,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thirteen,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
three,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seventh,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sixth,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sixty,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
third,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thirty,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thousand,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
since,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
though,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
till,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
while,NAN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whereas,NAN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twelve,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twenty,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two,NAN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
when,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where,NAN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unless,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
until,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whenever,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wherever,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whether,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yet,NAN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caution,VERB,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advertisement,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assert,VERB,5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
