word,pos,cefr_int,cefr
cattle,NAN,3,B
clothes,NAN,1,A
albeit,NAN,6,C
and,NAN,1,A
because,NAN,1,A
but,NAN,1,A
as,NAN,2,A
although,NAN,3,B
close,NAN,3,B
before,NAN,2,A
after,NAN,3,B
eight,NAN,1,A
eighteen,NAN,1,A
eleven,NAN,1,A
eighth,NAN,2,A
eighty,NAN,2,A
fifteen,NAN,1,A
five,NAN,1,A
four,NAN,1,A
fourteen,NAN,1,A
fifth,NAN,2,A
fifty,NAN,2,A
forty,NAN,2,A
fourth,NAN,2,A
hundred,NAN,2,A
if,NAN,2,A
however,NAN,6,C
million,NAN,2,A
like,NAN,3,B
or,NAN,1,A
only,NAN,6,C
nine,NAN,1,A
nineteen,NAN,1,A
one,NAN,1,A
ninety,NAN,2,A
ninth,NAN,2,A
now,NAN,4,B
once,NAN,4,B
second,NAN,3,B
politically,NAN,5,C
plus,NAN,3,B
seventy,NAN,2,A
so,NAN,2,A
seven,NAN,1,A
seventeen,NAN,1,A
six,NAN,1,A
sixteen,NAN,1,A
ten,NAN,1,A
thirteen,NAN,1,A
three,NAN,1,A
to,NAN,1,A
seventh,NAN,2,A
sixth,NAN,2,A
sixty,NAN,2,A
that,NAN,2,A
third,NAN,2,A
thirty,NAN,2,A
thousand,NAN,2,A
since,NAN,3,B
though,NAN,3,B
till,NAN,3,B
zero,NAN,2,A
while,NAN,4,B
whereas,NAN,4,B
twelve,NAN,1,A
twenty,NAN,1,A
two,NAN,1,A
when,NAN,2,A
where,NAN,2,A
unless,NAN,3,B
until,NAN,3,B
whenever,NAN,3,B
wherever,NAN,3,B
whether,NAN,3,B
yet,NAN,3,B
caution,VERB,6,C
advertisement,NOUN,2,A
assert,VERB,5,C
address,VERB,6,C
cash,NOUN,3,B
acquire,VERB,4,B
click,VERB,6,C
bike,NOUN,3,B
clarification,NOUN,5,C
acknowledge,VERB,5,C
aid,VERB,5,C
applaud,VERB,6,C
cease,VERB,4,B
carrot,NOUN,6,C
character,NOUN,6,C
ages,NOUN,3,B
bunch,NOUN,3,B
birth,NOUN,5,C
approval,NOUN,4,B
chemical,NOUN,4,B
appearance,NOUN,4,B
assurance,NOUN,5,C
allowance,NOUN,5,C
assistance,NOUN,4,B
assistant,NOUN,3,B
coherence,NOUN,6,C
bestseller,NOUN,4,B
beginner,NOUN,2,A
browser,NOUN,4,B
backpacker,NOUN,3,B
bumper,NOUN,4,B
cleaner,NOUN,2,A
babysitter,NOUN,3,B
barber,NOUN,3,B
builder,NOUN,3,B
adviser,NOUN,5,C
classic,NOUN,4,B
characteristic,NOUN,4,B
clothing,NOUN,4,B
catering,NOUN,4,B
boxing,NOUN,3,B
camping,NOUN,2,A
backpacking,NOUN,3,B
booking,NOUN,3,B
animation,NOUN,3,B
allegation,NOUN,5,C
addition,NOUN,4,B
admission,NOUN,4,B
action,NOUN,3,B
collection,NOUN,4,B
calculation,NOUN,4,B
admiration,NOUN,4,B
ambition,NOUN,4,B
appreciation,NOUN,4,B
affection,NOUN,4,B
attraction,NOUN,6,C
celebration,NOUN,3,B
adoption,NOUN,4,B
application,NOUN,4,B
capitalism,NOUN,6,C
archaeologist,NOUN,5,C
clarity,NOUN,6,C
capacity,NOUN,4,B
activity,NOUN,4,B
argument,NOUN,3,B
agreement,NOUN,4,B
arrangement,NOUN,4,B
achievement,NOUN,3,B
adjustment,NOUN,4,B
assessment,NOUN,4,B
amazement,NOUN,4,B
amusement,NOUN,4,B
astonishment,NOUN,4,B
attachment,NOUN,4,B
appointment,NOUN,6,C
blindness,NOUN,5,C
carelessness,NOUN,4,B
cheerfulness,NOUN,6,C
coldness,NOUN,6,C
collector,NOUN,4,B
ancestor,NOUN,4,B
championship,NOUN,3,B
bravery,NOUN,4,B
addiction,NOUN,4,B
abortion,NOUN,5,C
animal,NOUN,1,A
bird,NOUN,1,A
cat,NOUN,1,A
baby,NOUN,2,A
bear,NOUN,2,A
chicken,NOUN,2,A
ant,NOUN,3,B
bat,NOUN,3,B
bee,NOUN,3,B
bug,NOUN,3,B
bull,NOUN,3,B
butterfly,NOUN,3,B
cage,NOUN,3,B
calf,NOUN,3,B
camel,NOUN,3,B
breed,NOUN,4,B
cell,NOUN,4,B
collar,NOUN,4,B
beak,NOUN,5,C
bark,VERB,4,B
breed,VERB,4,B
book,NOUN,1,A
camera,NOUN,1,A
album,NOUN,2,A
cartoon,NOUN,2,A
channel,NOUN,2,A
clown,NOUN,2,A
act,NOUN,3,B
ad,NOUN,3,B
advert,NOUN,3,B
article,NOUN,3,B
biography,NOUN,3,B
chapter,NOUN,3,B
circus,NOUN,3,B
beat,NOUN,4,B
cello,NOUN,4,B
column,NOUN,4,B
bow,NOUN,6,C
art,NOUN,2,A
cable,NOUN,3,B
cinema,NOUN,5,C
brass,NOUN,6,C
ballet,NOUN,3,B
background,NOUN,4,B
accompany,VERB,6,C
act,VERB,3,B
advertise,VERB,3,B
broadcast,VERB,4,B
arm,NOUN,1,A
body,NOUN,1,A
accident,NOUN,2,A
back,NOUN,2,A
brain,NOUN,2,A
cold,NOUN,2,A
ache,NOUN,3,B
ankle,NOUN,3,B
bottom,NOUN,3,B
breast,NOUN,3,B
cheek,NOUN,3,B
chin,NOUN,3,B
bite,NOUN,4,B
breakdown,NOUN,4,B
bruise,NOUN,4,B
chest,NOUN,4,B
antibiotic,NOUN,6,C
blister,NOUN,6,C
case,NOUN,6,C
blood,NOUN,2,A
breath,NOUN,3,B
care,NOUN,4,B
cholesterol,NOUN,5,C
aspirin,NOUN,3,B
backache,NOUN,3,B
bandage,NOUN,3,B
bone,NOUN,3,B
beat,VERB,3,B
bleed,VERB,3,B
ache,VERB,4,B
catch,VERB,2,A
burn,VERB,3,B
bump,VERB,4,B
carry,VERB,5,C
attack,VERB,6,C
breathe,VERB,3,B
coat,NOUN,1,A
belt,NOUN,2,A
boot,NOUN,2,A
cap,NOUN,2,A
bracelet,NOUN,3,B
button,NOUN,3,B
badge,NOUN,4,B
bikini,NOUN,4,B
bra,NOUN,4,B
cardigan,NOUN,4,B
answer,NOUN,1,A
card,NOUN,2,A
accent,NOUN,3,B
alarm,NOUN,3,B
alphabet,NOUN,3,B
brochure,NOUN,3,B
call,NOUN,3,B
certificate,NOUN,3,B
account,NOUN,4,B
apostrophe,NOUN,4,B
arrow,NOUN,4,B
ban,NOUN,4,B
booklet,NOUN,4,B
chart,NOUN,4,B
colon,NOUN,4,B
appeal,NOUN,5,C
claim,NOUN,5,C
cliché,NOUN,6,C
advice,NOUN,2,A
blame,NOUN,4,B
chat,NOUN,2,A
apology,NOUN,3,B
code,NOUN,4,B
attack,NOUN,6,C
chat,VERB,2,A
apologise,VERB,3,B
argue,VERB,3,B
check,VERB,4,B
cheer,VERB,4,B
appeal,VERB,5,C
ask,VERB,2,A
add,VERB,3,B
announce,VERB,3,B
approve,VERB,3,B
blame,VERB,3,B
amuse,VERB,4,B
assume,VERB,4,B
assure,VERB,4,B
call,VERB,4,B
capture,VERB,4,B
challenge,VERB,4,B
claim,VERB,4,B
clarify,VERB,5,C
allege,VERB,6,C
answer,VERB,1,A
agree,VERB,2,A
admit,VERB,3,B
advise,VERB,3,B
beg,VERB,4,B
boast,VERB,4,B
burglar,NOUN,4,B
arrest,NOUN,4,B
burglary,NOUN,4,B
arrest,VERB,3,B
centimetre,NOUN,2,A
circle,NOUN,2,A
