Word,Pos Combo
aim,NOUN | VERB
alright,ADJ | ADV
alternative,ADJ | NOUN
arrest,NOUN | VERB
as,CONJ | NOUN
assistant,ADJ | NOUN
ban,NOUN | VERB
beat,NOUN | VERB
breed,NOUN | VERB
classic,ADJ | NOUN
collapse,NOUN | VERB
comment,NOUN | VERB
conservative,ADJ | NOUN
crash,NOUN | VERB
crop,NOUN | VERB
damp,ADJ | VERB
dance,NOUN | VERB
decline,NOUN | VERB
delay,NOUN | VERB
display,NOUN | VERB
draft,NOUN | VERB
drift,NOUN | VERB
drop,NOUN | VERB
ease,NOUN | VERB
echo,NOUN | VERB
encounter,NOUN | VERB
equivalent,ADJ | NOUN
estimate,NOUN | VERB
export,NOUN | VERB
favour,NOUN | VERB
favourite,ADJ | NOUN
fellow,ADJ | NOUN
finance,NOUN | VERB
finding,ADJ | NOUN
flat,ADV | NOUN
fund,NOUN | VERB
gaze,NOUN | VERB
german,ADJ | NOUN
giant,ADJ | NOUN
glance,NOUN | VERB
grant,NOUN | VERB
guarantee,NOUN | VERB
guide,NOUN | VERB
handle,NOUN | VERB
head,ADJ | VERB
import,NOUN | VERB
in,ADV | VERB
interim,ADJ | NOUN
kick,NOUN | VERB
label,NOUN | VERB
launch,NOUN | VERB
lift,NOUN | VERB
lock,NOUN | VERB
manual,ADJ | NOUN
mark,NOUN | VERB
match,NOUN | VERB
minimum,ADJ | NOUN
miss,VERB | VERB
mix,NOUN | VERB
objective,ADJ | NOUN
outline,NOUN | VERB
pack,NOUN | VERB
pause,NOUN | VERB
pink,ADJ | NOUN
plain,ADJ | NOUN
pop,NOUN | VERB
purchase,NOUN | VERB
repair,NOUN | VERB
reply,NOUN | VERB
rescue,NOUN | VERB
reserve,NOUN | VERB
reverse,NOUN | VERB
reward,NOUN | VERB
roll,NOUN | VERB
routine,ADJ | NOUN
schedule,NOUN | VERB
seal,NOUN | VERB
secure,ADJ | VERB
spare,ADJ | VERB
stretch,NOUN | VERB
strike,NOUN | VERB
strip,NOUN | VERB
sue,VERB | VERB
swing,NOUN | VERB
switch,NOUN | VERB
tap,NOUN | VERB
tip,NOUN | VERB
tournament,NOUN | NOUN
trace,NOUN | VERB
upset,ADJ | VERB
urge,NOUN | VERB
vote,NOUN | VERB
welcome,ADJ | VERB
witness,NOUN | VERB
working,ADJ | NOUN
yield,NOUN | VERB
