word,pos,cefr_level_avg,cefr_level
a,DET,1,A
a,DET,1,A
a,DET,1,A
abandon,VERB,4,B
ability,NOUN,3,B
able,ADJ,2,A
abolish,VERB,4,B
abortion,NOUN,4,B
about,ADP,2,A
about,ADV,2,A
above,ADJ,1,A
above,ADP,3,B
above,ADV,2,A
abroad,ADV,2,A
absence,NOUN,2,A
absent,ADJ,2,A
absolute,ADJ,2,A
absolutely,ADV,3,B
absorb,VERB,4,B
abstract,ADJ,3,B
absurd,ADJ,4,B
abuse,NOUN,3,B
academic,ADJ,3,B
accent,NOUN,3,B
accept,VERB,2,A
acceptable,ADJ,3,B
acceptance,NOUN,3,B
access,NOUN,3,B
access,VERB,3,B
accessible,ADJ,3,B
accident,NOUN,2,A
accommodation,NOUN,3,B
accompany,VERB,4,B
account,NOUN,3,B
account,NOUN,3,B
account,NOUN,3,B
accountant,NOUN,2,A
accumulate,VERB,4,B
accuracy,NOUN,4,B
accurate,ADJ,3,B
accuse,VERB,3,B
achieve,VERB,3,B
achievement,NOUN,3,B
acid,NOUN,1,A
acknowledge,VERB,4,B
acquire,VERB,4,B
acre,NOUN,4,B
across,ADP,2,A
across,ADV,2,A
act,NOUN,2,A
act,VERB,1,A
action,NOUN,2,A
active,ADJ,2,A
actively,ADV,3,B
activity,NOUN,2,A
actor,NOUN,1,A
actual,ADJ,3,B
actually,ADV,3,B
ad,NOUN,2,A
adapt,VERB,3,B
add,VERB,1,A
addition,NOUN,3,B
additional,ADJ,3,B
address,NOUN,1,A
address,VERB,2,A
adequate,ADJ,4,B
adjust,VERB,4,B
adjustment,NOUN,3,B
administration,NOUN,4,B
administrative,ADJ,4,B
administrator,NOUN,3,B
admire,VERB,3,B
admission,NOUN,4,B
admit,VERB,3,B
adopt,VERB,4,B
adoption,NOUN,3,B
adult,NOUN,2,A
advance,NOUN,4,B
advance,VERB,3,B
advanced,ADJ,3,B
advantage,NOUN,2,A
adventure,NOUN,3,B
advertise,VERB,4,B
advertisement,NOUN,2,A
advertising,NOUN,3,B
