User ID,Avg_A,Avg_B,Avg_C,Level
1,0.46,0.66,0.55,2.00
2,0.60,0.38,0.41,2.00
3,0.70,0.30,0.68,3.00
4,0.40,0.57,0.43,2.00
5,0.42,0.62,0.49,2.00
6,0.68,0.39,0.48,2.00
7,0.52,0.70,0.62,3.00
8,0.54,0.36,0.55,1.00
9,0.52,0.30,0.40,2.00
10,0.57,0.64,0.32,2.00
11,0.60,0.48,0.51,2.00
12,0.35,0.36,0.41,1.00
13,0.63,0.61,0.62,3.00
14,0.45,0.49,0.50,2.00
15,0.34,0.32,0.72,1.00
16,0.40,0.42,0.47,2.00
17,0.64,0.46,0.37,2.00
18,0.48,0.44,0.35,1.00
19,0.45,0.67,0.27,2.00
20,0.68,0.36,0.43,2.00
21,0.69,0.44,0.57,3.00
22,0.36,0.63,0.61,3.00
23,0.40,0.63,0.40,2.00
24,0.42,0.53,0.61,2.00
25,0.43,0.54,0.47,2.00
26,0.66,0.29,0.39,1.00
27,0.53,0.50,0.32,2.00
28,0.62,0.69,0.59,3.00
29,0.59,0.53,0.52,2.00
30,0.49,0.44,0.52,2.00
31,0.48,0.51,0.56,2.00
32,0.40,0.58,0.51,2.00
33,0.55,0.53,0.34,2.00
34,0.51,0.56,0.47,2.00
35,0.68,0.62,0.72,3.00
36,0.40,0.65,0.72,3.00
37,0.39,0.49,0.27,1.00
38,0.59,0.48,0.56,2.00
39,0.38,0.41,0.45,1.00
40,0.66,0.31,0.42,1.00
41,0.44,0.40,0.51,1.00
42,0.47,0.59,0.35,2.00
43,0.64,0.55,0.48,2.00
44,0.48,0.55,0.27,2.00
45,0.60,0.37,0.56,2.00
46,0.66,0.68,0.62,3.00
47,0.64,0.57,0.60,3.00
48,0.40,0.30,0.29,1.00
49,0.41,0.69,0.62,3.00
50,0.53,0.56,0.57,3.00
51,0.37,0.61,0.59,2.00
52,0.39,0.33,0.47,1.00
53,0.56,0.64,0.57,3.00
54,0.65,0.62,0.57,3.00
55,0.41,0.71,0.62,3.00
56,0.56,0.49,0.49,2.00
57,0.63,0.49,0.45,2.00
58,0.53,0.55,0.49,2.00
59,0.64,0.33,0.44,1.00
60,0.39,0.50,0.58,2.00
61,0.48,0.48,0.41,2.00
62,0.59,0.53,0.53,2.00
63,0.70,0.52,0.34,2.00
64,0.37,0.43,0.27,1.00
65,0.36,0.56,0.44,1.00
66,0.69,0.39,0.47,1.00
67,0.65,0.70,0.40,2.00
68,0.53,0.36,0.29,1.00
69,0.48,0.70,0.44,3.00
70,0.62,0.49,0.39,1.00
71,0.63,0.32,0.32,1.00
72,0.68,0.57,0.40,2.00
73,0.49,0.64,0.39,2.00
74,0.64,0.31,0.40,2.00
75,0.43,0.67,0.61,3.00
76,0.43,0.28,0.55,2.00
77,0.70,0.37,0.38,1.00
78,0.48,0.60,0.50,2.00
79,0.47,0.67,0.39,2.00
80,0.43,0.66,0.68,2.00
81,0.68,0.56,0.70,3.00
82,0.34,0.31,0.65,1.00
83,0.51,0.66,0.37,1.00
84,0.34,0.51,0.53,1.00
85,0.36,0.70,0.39,2.00
86,0.66,0.40,0.31,2.00
87,0.67,0.60,0.66,3.00
88,0.47,0.33,0.55,2.00
89,0.49,0.71,0.38,2.00
90,0.42,0.42,0.63,3.00
91,0.37,0.37,0.44,2.00
92,0.52,0.55,0.72,3.00
93,0.47,0.63,0.45,2.00
94,0.36,0.60,0.60,3.00
95,0.64,0.39,0.51,2.00
96,0.69,0.47,0.29,1.00
97,0.51,0.47,0.57,3.00
98,0.46,0.31,0.46,3.00
99,0.50,0.59,0.48,2.00
100,0.43,0.45,0.31,2.00
